지역,년도,무게,경도,위도
강릉,2018,9.7,128.8784972,37.74913611
강화,2018,357.6,126.4878417,37.74692907
거제,2018,77.7,128.6233556,34.87735833
고성,2018,0,128.3245417,34.9699
고창,2018,108.4,126.7041083,35.43273889
고흥,2018,240.1,127.2870556,34.60806944
군산,2018,0,126.7388444,35.96464167
남해,2018,62.9,127.8944667,34.83455833
당진,2018,0,126.6302528,36.89075
동해,2018,2.7,129.1166333,37.52193056
마산,2018,15.2,128.567863,35.196874
보령,2018,813.4,126.6148861,36.330575
부산,2018,11.7,128.9829083,35.20916389
부안,2018,346.1,126.7356778,35.72853333
사천,2018,52,128.0667778,35.00028333
서천,2018,89.6,126.6938889,36.07740556
속초,2018,49.3,128.5941667,38.204275
시흥,2018,0,126.8050778,37.37731944
신안,2018,249.8,126.3817306,34.78981111
안산,2018,2.2,126.8468194,37.29851944
여수,2018,99.6,127.6643861,34.75731111
영광,2018,139.6,126.5140861,35.27416667
영덕,2018,25.7,129.3683556,36.41210278
완도,2018,83.4,126.7570972,34.30785278
울릉,2018,0,130.9037889,37.480575
울산,2018,45.2,129.4166919,35.50516996
울주,2018,113.3,129.2424748,35.52230648
울진,2018,9.5,129.4027861,36.99018611
인천,2018,130.1,126.6217617,37.47384843
제주,2018,199.3,126.5332083,33.49631111
진도,2018,23.8,126.2655444,34.48375
태안,2018,694,126.299975,36.74266667
통영,2018,19.9,128.4352778,34.85125833
포항,2018,105.3,129.3616667,36.00568611
해남,2018,220.1,126.6012889,34.57043611
강릉,2019,1.8,128.8784972,37.74913611
강화,2019,81.6,126.4878417,37.74692907
거제,2019,54.7,128.6233556,34.87735833
고성,2019,0,128.3245417,34.9699
고창,2019,37,126.7041083,35.43273889
고흥,2019,106.9,127.2870556,34.60806944
군산,2019,0,126.7388444,35.96464167
남해,2019,12.9,127.8944667,34.83455833
당진,2019,0,126.6302528,36.89075
동해,2019,7.8,129.1166333,37.52193056
마산,2019,19.3,128.567863,35.196874
보령,2019,196.8,126.6148861,36.330575
부산,2019,12.3,128.9829083,35.20916389
부안,2019,215.6,126.7356778,35.72853333
사천,2019,35.6,128.0667778,35.00028333
서천,2019,243.3,126.6938889,36.07740556
속초,2019,14.4,128.5941667,38.204275
시흥,2019,0,126.8050778,37.37731944
신안,2019,314.8,126.3817306,34.78981111
안산,2019,1.7,126.8468194,37.29851944
여수,2019,23.9,127.6643861,34.75731111
영광,2019,50.4,126.5140861,35.27416667
영덕,2019,8.6,129.3683556,36.41210278
완도,2019,148.4,126.7570972,34.30785278
울릉,2019,0,130.9037889,37.480575
울산,2019,15.6,129.4166919,35.50516996
울주,2019,54.6,129.2424748,35.52230648
울진,2019,21.3,129.4027861,36.99018611
인천,2019,72.6,126.6217617,37.47384843
제주,2019,94.7,126.5332083,33.49631111
진도,2019,26.5,126.2655444,34.48375
태안,2019,283.6,126.299975,36.74266667
통영,2019,27.8,128.4352778,34.85125833
포항,2019,245.9,129.3616667,36.00568611
해남,2019,268.2,126.6012889,34.57043611
강릉,2020,8.9,128.8784972,37.74913611
강화,2020,36.1,126.4878417,37.74692907
거제,2020,40.3,128.6233556,34.87735833
고성,2020,0,128.3245417,34.9699
고창,2020,80.8,126.7041083,35.43273889
고흥,2020,59,127.2870556,34.60806944
군산,2020,0,126.7388444,35.96464167
남해,2020,29.5,127.8944667,34.83455833
당진,2020,0,126.6302528,36.89075
동해,2020,14.1,129.1166333,37.52193056
마산,2020,175.7,128.567863,35.196874
보령,2020,152.3,126.6148861,36.330575
부산,2020,14.6,128.9829083,35.20916389
부안,2020,158.8,126.7356778,35.72853333
사천,2020,59.1,128.0667778,35.00028333
서천,2020,82.1,126.6938889,36.07740556
속초,2020,25.1,128.5941667,38.204275
시흥,2020,0,126.8050778,37.37731944
신안,2020,168.2,126.3817306,34.78981111
안산,2020,1.5,126.8468194,37.29851944
여수,2020,24.5,127.6643861,34.75731111
영광,2020,89.9,126.5140861,35.27416667
영덕,2020,24.3,129.3683556,36.41210278
완도,2020,166.1,126.7570972,34.30785278
울릉,2020,0,130.9037889,37.480575
울산,2020,16.9,129.4166919,35.50516996
울주,2020,44.6,129.2424748,35.52230648
울진,2020,13,129.4027861,36.99018611
인천,2020,45.1,126.6217617,37.47384843
제주,2020,97.4,126.5332083,33.49631111
진도,2020,2.3,126.2655444,34.48375
태안,2020,81.2,126.299975,36.74266667
통영,2020,52.2,128.4352778,34.85125833
포항,2020,292.2,129.3616667,36.00568611
해남,2020,151.2,126.6012889,34.57043611
강릉,2021,7.6,128.8784972,37.74913611
강화,2021,13.1,126.4878417,37.74692907
거제,2021,54.7,128.6233556,34.87735833
고성,2021,46.4,128.3245417,34.9699
고창,2021,104.3,126.7041083,35.43273889
고흥,2021,38,127.2870556,34.60806944
군산,2021,4,126.7388444,35.96464167
남해,2021,33.7,127.8944667,34.83455833
당진,2021,2,126.6302528,36.89075
동해,2021,11.7,129.1166333,37.52193056
마산,2021,9.7,128.567863,35.196874
보령,2021,131.2,126.6148861,36.330575
부산,2021,136.9,128.9829083,35.20916389
부안,2021,181.6,126.7356778,35.72853333
사천,2021,26.6,128.0667778,35.00028333
서천,2021,112,126.6938889,36.07740556
속초,2021,18.7,128.5941667,38.204275
시흥,2021,8.4,126.8050778,37.37731944
신안,2021,1330.8,126.3817306,34.78981111
안산,2021,2.9,126.8468194,37.29851944
여수,2021,344.1,127.6643861,34.75731111
영광,2021,78.8,126.5140861,35.27416667
영덕,2021,3.4,129.3683556,36.41210278
완도,2021,283.8,126.7570972,34.30785278
울릉,2021,407.3,130.9037889,37.480575
울산,2021,166.4,129.4166919,35.50516996
울주,2021,58.7,129.2424748,35.52230648
울진,2021,13.4,129.4027861,36.99018611
인천,2021,20.6,126.6217617,37.47384843
제주,2021,250.7,126.5332083,33.49631111
진도,2021,195.2,126.2655444,34.48375
태안,2021,121.1,126.299975,36.74266667
통영,2021,947.4,128.4352778,34.85125833
포항,2021,293.7,129.3616667,36.00568611
해남,2021,193.3,126.6012889,34.57043611
강릉,2022,32.3,128.8784972,37.74913611
강화,2022,29.3,126.4878417,37.74692907
거제,2022,95.2,128.6233556,34.87735833
고성,2022,40.3,128.3245417,34.9699
고창,2022,26.9,126.7041083,35.43273889
고흥,2022,61.9,127.2870556,34.60806944
군산,2022,0.7,126.7388444,35.96464167
남해,2022,18.6,127.8944667,34.83455833
당진,2022,1.4,126.6302528,36.89075
동해,2022,21.9,129.1166333,37.52193056
마산,2022,18.3,128.567863,35.196874
보령,2022,66.3,126.6148861,36.330575
부산,2022,103.7,128.9829083,35.20916389
부안,2022,86.5,126.7356778,35.72853333
사천,2022,10.3,128.0667778,35.00028333
서천,2022,96.5,126.6938889,36.07740556
속초,2022,15.8,128.5941667,38.204275
시흥,2022,11.8,126.8050778,37.37731944
신안,2022,1296.9,126.3817306,34.78981111
안산,2022,0.7,126.8468194,37.29851944
여수,2022,423.8,127.6643861,34.75731111
영광,2022,24.4,126.5140861,35.27416667
영덕,2022,7.4,129.3683556,36.41210278
완도,2022,190.3,126.7570972,34.30785278
울릉,2022,186.7,130.9037889,37.480575
울산,2022,41.9,129.4166919,35.50516996
울주,2022,61.5,129.2424748,35.52230648
울진,2022,13,129.4027861,36.99018611
인천,2022,52.9,126.6217617,37.47384843
제주,2022,126.5,126.5332083,33.49631111
진도,2022,143.9,126.2655444,34.48375
태안,2022,125.2,126.299975,36.74266667
통영,2022,696.5,128.4352778,34.85125833
포항,2022,72.8,129.3616667,36.00568611
해남,2022,135.8,126.6012889,34.57043611
